pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
5.32,15.72,168.01,Clay
6.99,36.19,270.02,Sandy
6.92,22.43,214.91,Loamy
7.03,33.58,433.2,Silty
5.73,21.91,344.6,Peaty
8.15,44.0,366.57,Silty
7.59,43.85,163.46,Clay
8.47,7.78,241.61,Silty
7.8,28.22,73.57,Silty
6.62,49.76,85.23,Clay
4.68,19.93,145.67,Clay
8.91,44.79,53.49,Peaty
5.56,44.96,411.27,Loamy
6.89,7.34,228.11,Loamy
7.05,24.81,364.79,Peaty
6.68,30.97,416.82,Silty
4.76,23.53,378.55,Peaty
7.37,10.7,426.37,Silty
6.82,47.43,118.47,Silty
7.74,14.23,154.74,Loamy
5.74,5.73,250.2,Clay
8.51,20.4,100.27,Loamy
7.05,5.57,310.66,Peaty
8.4,34.41,201.48,Clay
8.7,13.33,220.85,Peaty
5.78,6.25,283.08,Clay
5.49,15.11,419.28,Silty
7.42,42.18,369.27,Clay
5.3,18.26,367.86,Silty
8.85,11.58,173.51,Silty
5.47,11.14,350.88,Peaty
8.8,14.94,445.2,Clay
7.82,9.83,131.43,Sandy
8.24,38.11,248.56,Peaty
7.98,30.06,382.81,Sandy
8.47,37.89,247.25,Sandy
5.1,39.25,235.42,Loamy
4.69,33.08,218.66,Clay
5.49,35.18,100.29,Sandy
5.07,11.49,229.09,Sandy
6.24,30.95,99.41,Loamy
5.13,41.15,68.14,Peaty
5.77,36.22,54.12,Peaty
4.78,41.97,229.57,Peaty
6.09,38.17,120.65,Silty
4.59,43.3,83.28,Loamy
8.31,27.39,72.21,Sandy
7.4,43.4,78.53,Sandy
4.58,34.4,187.94,Peaty
4.69,41.98,292.84,Sandy
6.06,16.13,251.46,Sandy
8.41,14.28,152.16,Silty
5.3,38.39,174.13,Sandy
7.4,48.46,194.57,Loamy
5.19,46.84,150.77,Silty
6.09,21.88,137.49,Clay
8.51,39.51,381.86,Clay
7.22,36.2,290.37,Clay
4.94,39.68,212.08,Peaty
5.23,39.12,86.44,Silty
5.24,23.72,78.41,Clay
6.9,28.84,77.24,Sandy
6.17,46.28,62.36,Clay
7.43,45.19,168.99,Silty
